"full_branch","superkingdom","kingdom","phylum","class","order","family"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Bryidae;Hypnanae;Hookeriales;Hookeriaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Hookeriales","Hookeriaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Buxbaumiidae;Buxbaumiales;Buxbaumiaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Buxbaumiales","Buxbaumiaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Dicranales;Calymperaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Dicranales","Calymperaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Errantia;Eunicida;Oenonidae","Eukaryota","Metazoa","Annelida","Polychaeta","Eunicida","Oenonidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Heterakoidea;Heterakidae","Eukaryota","Metazoa","Nematoda","Chromadorea","Rhabditida","Heterakidae"
"cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Albuginales;Albuginaceae","Eukaryota","na","Oomycota","na","Albuginales","Albuginaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Marchantiophyta;Jungermanniopsida;Jungermanniidae;Porellales;Jubulineae;Lejeuneaceae","Eukaryota","Viridiplantae","Streptophyta","Jungermanniopsida","Porellales","Lejeuneaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Cladochytriales;Endochytriaceae","Eukaryota","Fungi","Chytridiomycota","Chytridiomycetes","Cladochytriales","Endochytriaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Dothideales;Dothioraceae","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae"
"cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Chrysolepidomonadaceae","Eukaryota","na","na","Chrysophyceae","Chromulinales","Chrysolepidomonadaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Dendrobranchiata;Penaeoidea;Sicyoniidae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Sicyoniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Seriata;Tricladida;Maricola;Procerodoidea;Procerodidae","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Tricladida","Procerodidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Proctotrupomorpha;Chalcidoidea;Megastigmidae","Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Megastigmidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Proctotrupomorpha;Chalcidoidea;Torymidae","Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Torymidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Anabantaria;Anabantiformes;Anabantoidei;Anabantidae","Eukaryota","Metazoa","Chordata","Actinopteri","Anabantiformes","Anabantidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Neuropterida;Neuroptera;Hemerobiiformia;Ithonidae","Eukaryota","Metazoa","Arthropoda","Insecta","Neuroptera","Ithonidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Elateriformia;Scirtoidea;Clambidae","Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Clambidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Myxophaga;Hydroscaphidae","Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Hydroscaphidae"
