"","full_branch","superkingdom","kingdom","phylum","class","order","family"
"4035","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Rissoellaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Rissoellaceae_257593"
"4036","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Pseudoanemoniaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Pseudoanemoniaceae_257590"
"4037","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Mychodeophyllaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Mychodeophyllaceae_257583"
"4038","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Cubiculosporaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Cubiculosporaceae_257562"
"4039","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Cruoriaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Cruoriaceae_257559"
"4040","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Corynocystaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Corynocystaceae_257552"
"4041","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Acrotylaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Acrotylaceae_257543"
"4042","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystina;Parasitengona;Hydracarina;Hygrobatoidea;Hygrobatidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Arachnida_6854","Trombidiformes_83136","Hygrobatidae_257020"
"4043","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Calcarea;Calcaronea;Leucosolenida;Leucosoleniidae","Eukaryota_2759","Metazoa_33208","Porifera_6040","Calcarea_27929","Leucosolenida_86011","Leucosoleniidae_257001"
"4044","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Lulworthiomycetidae;Lulworthiales;Spathulosporaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Lulworthiales_135652","Spathulosporaceae_256334"
